stem,n_coco,n_yolo,max_coord_diff,status
0008_2348_5,15,15,9.62963e-07,OK
0008_2349_5,15,15,9.375e-07,OK
0008_2350_5,13,13,9.58333e-07,OK
0008_2351_5,12,12,9.62963e-07,OK
0008_2352_5,13,13,9.16667e-07,OK
0008_2353_5,13,13,9.62963e-07,OK
0008_2354_5,11,11,1e-06,OK
0008_2355_5,10,10,9.58333e-07,OK
0008_2356_5,11,11,9.25926e-07,OK
0008_2357_5,10,10,9.25926e-07,OK
0008_2358_5,9,9,9.25926e-07,OK
0008_2359_5,8,8,9.62963e-07,OK
0008_2360_5,9,9,9.62963e-07,OK
0008_2361_5,9,9,9.79167e-07,OK
0008_2362_5,10,10,9.25926e-07,OK
0008_2363_5,10,10,9.79167e-07,OK
0008_2364_5,11,11,9.62963e-07,OK
0008_2365_5,11,11,9.62963e-07,OK
0008_2366_5,11,11,9.62963e-07,OK
0008_2367_5,11,11,9.375e-07,OK
0008_2368_5,11,11,9.79167e-07,OK
0008_2369_5,11,11,9.62963e-07,OK
0008_2370_5,10,10,9.58333e-07,OK
0008_2371_5,11,11,9.16667e-07,OK
0008_2372_5,12,12,9.58333e-07,OK
0008_2373_5,12,12,9.62963e-07,OK
0008_2374_5,13,13,9.58333e-07,OK
0008_2375_5,14,14,1e-06,OK
0008_2376_5,14,14,1e-06,OK
0008_2377_5,13,13,9.62963e-07,OK
0008_2378_5,13,13,9.58333e-07,OK
0008_2379_5,14,14,9.62963e-07,OK
0008_2380_5,15,15,9.79167e-07,OK
0008_2381_5,14,14,9.62963e-07,OK
0008_2382_5,15,15,9.79167e-07,OK
0008_2383_5,18,18,9.79167e-07,OK
0008_2384_5,18,18,9.79167e-07,OK
0008_2385_5,18,18,9.62963e-07,OK
0008_2386_5,19,19,1e-06,OK
0008_2387_5,19,19,1e-06,OK
0008_2388_5,19,19,9.62963e-07,OK
0008_2389_5,20,20,9.79167e-07,OK
0008_2390_5,19,19,1e-06,OK
0008_2391_5,19,19,9.62963e-07,OK
0008_2392_5,18,18,1e-06,OK
0008_2393_5,19,19,1e-06,OK
0008_2394_5,18,18,9.79167e-07,OK
0008_2395_5,18,18,9.79167e-07,OK
0008_2396_5,16,16,9.58333e-07,OK
0008_2397_5,18,18,9.79167e-07,OK
0008_2398_5,16,16,1e-06,OK
0008_2399_5,17,17,1e-06,OK
0019_0626_5,19,19,1e-06,OK
0019_0627_5,19,19,1e-06,OK
0019_0628_5,20,20,9.62963e-07,OK
0019_0629_5,20,20,1e-06,OK
0019_0630_5,20,20,1e-06,OK
0019_0631_5,22,22,9.79167e-07,OK
0019_0632_5,21,21,1e-06,OK
0019_0633_5,21,21,9.79167e-07,OK
0019_0634_5,20,20,9.79167e-07,OK
0019_0635_5,19,19,1e-06,OK
0019_0636_5,19,19,9.58333e-07,OK
0019_0637_5,18,18,9.79167e-07,OK
0019_0638_5,19,19,9.62963e-07,OK
0019_0639_5,18,18,9.79167e-07,OK
0019_0640_5,19,19,9.62963e-07,OK
0019_0641_5,18,18,9.62963e-07,OK
0019_0642_5,17,17,9.79167e-07,OK
0019_0643_5,16,16,9.62963e-07,OK
0019_0644_5,14,14,1e-06,OK
0019_0645_5,15,15,9.79167e-07,OK
0019_0646_5,13,13,9.62963e-07,OK
0019_0647_5,14,14,1e-06,OK
0019_0648_5,15,15,9.58333e-07,OK
